Region label,Unit of measure,Commodity,Year,Value
South Australia,number,Total cattle,1988,947200
Western Australia,number,Total cattle,1988,1705200
Tasmania,number,Total cattle,1988,542200
Northern Territory,number,Total cattle,1988,1384900
Australian Capital Territory,number,Total cattle,1988,10800
New South Wales,number,Total cattle,1989,5328600
Victoria,number,Total cattle,1989,3508600
Queensland,number,Total cattle,1989,8993800
South Australia,number,Total cattle,1989,942500
Western Australia,number,Total cattle,1989,1701700
Tasmania,number,Total cattle,1989,560400
Northern Territory,number,Total cattle,1989,1388000
Australian Capital Territory,number,Total cattle,1989,10600
New South Wales,number,Total cattle,1990,5505700
Victoria,number,Total cattle,1990,3645700
Queensland,number,Total cattle,1990,9488900
South Australia,number,Total cattle,1990,969100
Western Australia,number,Total cattle,1990,1673000
Tasmania,number,Total cattle,1990,569000
Northern Territory,number,Total cattle,1990,1327100
Australian Capital Territory,number,Total cattle,1990,12100
New South Wales,number,Total cattle,1991,5653400
Victoria,number,Total cattle,1991,3631400
Queensland,number,Total cattle,1991,9855500
South Australia,number,Total cattle,1991,990100
Western Australia,number,Total cattle,1991,1583800
Tasmania,number,Total cattle,1991,584300
Northern Territory,number,Total cattle,1991,1352600
Australian Capital Territory,number,Total cattle,1991,11200
New South Wales,number,Total cattle,1992,5697200
Victoria,number,Total cattle,1992,3574200
Queensland,number,Total cattle,1992,10005300
South Australia,number,Total cattle,1992,1016500
Western Australia,number,Total cattle,1992,1649100
Tasmania,number,Total cattle,1992,592700
Northern Territory,number,Total cattle,1992,1334300
Australian Capital Territory,number,Total cattle,1992,10800
New South Wales,number,Total cattle,1993,5783100
Victoria,number,Total cattle,1993,3689200
Queensland,number,Total cattle,1993,9873000
South Australia,number,Total cattle,1993,1104200
Western Australia,number,Total cattle,1993,1648200
Tasmania,number,Total cattle,1993,604700
Northern Territory,number,Total cattle,1993,1347200
Australian Capital Territory,number,Total cattle,1993,12200
New South Wales,number,Total cattle,1994,6515100
Victoria,number,Total cattle,1994,4188700
Queensland,number,Total cattle,1994,9942400
South Australia,number,Total cattle,1994,1202200
Western Australia,number,Total cattle,1994,1805500
Tasmania,number,Total cattle,1994,678900
Northern Territory,number,Total cattle,1994,1435500
Australian Capital Territory,number,Total cattle,1994,13400
New South Wales,number,Total cattle,1995,6236400
Victoria,number,Total cattle,1995,4279800
Queensland,number,Total cattle,1995,9973600
South Australia,number,Total cattle,1995,1216000
