Region label,Unit of measure,Commodity,Year,Value
Tasmania,tonnes,Oats,1917,18200
Northern Territory,hectares,Oats,1917,0
Northern Territory,tonnes,Oats,1917,0
Australian Capital Territory,hectares,Oats,1917,0
Australian Capital Territory,tonnes,Oats,1917,0
Australia,hectares,Wheat,1917,4667200
Australia,tonnes,Wheat,1917,4147200
New South Wales,hectares,Wheat,1917,1540500
New South Wales,tonnes,Wheat,1917,996000
Victoria,hectares,Wheat,1917,1264900
Victoria,tonnes,Wheat,1917,1392400
Queensland,hectares,Wheat,1917,92200
Queensland,tonnes,Wheat,1917,67000
South Australia,hectares,Wheat,1917,1124400
South Australia,tonnes,Wheat,1917,1244300
Western Australia,hectares,Wheat,1917,634000
Western Australia,tonnes,Wheat,1917,438000
Tasmania,hectares,Wheat,1917,11200
Tasmania,tonnes,Wheat,1917,9500
Northern Territory,hectares,Wheat,1917,0
Northern Territory,tonnes,Wheat,1917,0
Australian Capital Territory,hectares,Wheat,1917,0
Australian Capital Territory,tonnes,Wheat,1917,0
Australia,hectares,Potatoes,1917,60700
Australia,tonnes,Potatoes,1917,362400
New South Wales,hectares,Potatoes,1917,9100
New South Wales,tonnes,Potatoes,1917,46100
Victoria,hectares,Potatoes,1917,29800
Victoria,tonnes,Potatoes,1917,191000
Queensland,hectares,Potatoes,1917,3600
Queensland,tonnes,Potatoes,1917,19800
South Australia,hectares,Potatoes,1917,1900
South Australia,tonnes,Potatoes,1917,20700
Western Australia,hectares,Potatoes,1917,2400
Western Australia,tonnes,Potatoes,1917,16700
Tasmania,hectares,Potatoes,1917,13900
Tasmania,tonnes,Potatoes,1917,68100
Northern Territory,hectares,Potatoes,1917,0
Northern Territory,tonnes,Potatoes,1917,0
Australian Capital Territory,hectares,Potatoes,1917,0
Australian Capital Territory,tonnes,Potatoes,1917,0
Australia,number,Total cattle,1917,11829135
New South Wales,number,Total cattle,1917,3148309
Victoria,number,Total cattle,1917,1371049
Queensland,number,Total cattle,1917,5316558
South Australia,number,Total cattle,1917,313245
Western Australia,number,Total cattle,1917,927086
Tasmania,number,Total cattle,1917,197938
Northern Territory,number,Total cattle,1917,541545
Australian Capital Territory,number,Total cattle,1917,13408
Australia,hectares,Barley,1918,82900
Australia,tonnes,Barley,1918,90700
New South Wales,hectares,Barley,1918,2600
New South Wales,tonnes,Barley,1918,2200
Victoria,hectares,Barley,1918,34400
Victoria,tonnes,Barley,1918,44700
Queensland,hectares,Barley,1918,3100
Queensland,tonnes,Barley,1918,3300
South Australia,hectares,Barley,1918,38700
South Australia,tonnes,Barley,1918,37500
Western Australia,hectares,Barley,1918,2000
Western Australia,tonnes,Barley,1918,800
Tasmania,hectares,Barley,1918,2100
Tasmania,tonnes,Barley,1918,2200
Northern Territory,hectares,Barley,1918,0
Northern Territory,tonnes,Barley,1918,0
Australian Capital Territory,hectares,Barley,1918,0
Australian Capital Territory,tonnes,Barley,1918,0
Australia,hectares,Maize,1918,128000
Australia,tonnes,Maize,1918,222500
New South Wales,hectares,Maize,1918,59000
New South Wales,tonnes,Maize,1918,88900
Victoria,hectares,Maize,1918,8500
Victoria,tonnes,Maize,1918,29300
Queensland,hectares,Maize,1918,60500
Queensland,tonnes,Maize,1918,104300
South Australia,hectares,Maize,1918,0
South Australia,tonnes,Maize,1918,0
Western Australia,hectares,Maize,1918,0
Western Australia,tonnes,Maize,1918,0
Tasmania,hectares,Maize,1918,0
Tasmania,tonnes,Maize,1918,0
Northern Territory,hectares,Maize,1918,0
Northern Territory,tonnes,Maize,1918,0
Australian Capital Territory,hectares,Maize,1918,0
Australian Capital Territory,tonnes,Maize,1918,0
Australia,hectares,Oats,1918,249200
Australia,tonnes,Oats,1918,188000
New South Wales,hectares,Oats,1918,33400
New South Wales,tonnes,Oats,1918,26400
Victoria,hectares,Oats,1918,118700
Victoria,tonnes,Oats,1918,111400
Queensland,hectares,Oats,1918,1200
Queensland,tonnes,Oats,1918,800
South Australia,hectares,Oats,1918,43100
South Australia,tonnes,Oats,1918,22600
Western Australia,hectares,Oats,1918,38700
Western Australia,tonnes,Oats,1918,16400
Tasmania,hectares,Oats,1918,14100
Tasmania,tonnes,Oats,1918,10300
Northern Territory,hectares,Oats,1918,0
Northern Territory,tonnes,Oats,1918,0
Australian Capital Territory,hectares,Oats,1918,0
Australian Capital Territory,tonnes,Oats,1918,0
Australia,hectares,Wheat,1918,3955700
Australia,tonnes,Wheat,1918,3121900
New South Wales,hectares,Wheat,1918,1347400
New South Wales,tonnes,Wheat,1918,1026400
Victoria,hectares,Wheat,1918,1088700
Victoria,tonnes,Wheat,1918,1027000
Queensland,hectares,Wheat,1918,51700
Queensland,tonnes,Wheat,1918,28200
South Australia,hectares,Wheat,1918,953300
South Australia,tonnes,Wheat,1918,780400
Western Australia,hectares,Wheat,1918,505800
Western Australia,tonnes,Wheat,1918,253100
Tasmania,hectares,Wheat,1918,8800
Tasmania,tonnes,Wheat,1918,6900
Northern Territory,hectares,Wheat,1918,0
Northern Territory,tonnes,Wheat,1918,0
Australian Capital Territory,hectares,Wheat,1918,0
Australian Capital Territory,tonnes,Wheat,1918,0
Australia,hectares,Potatoes,1918,55100
Australia,tonnes,Potatoes,1918,353000
